,titles,abstarcts
263,"
                  A SURVEY ON LDA APPROACH IN PREDICTING LINK BEHAVIOR IN A SOCIAL NETWORK
                  ","""... Abstract—Social network sites (SNS) in recent times are focusing mainly on user interactions. These SNS are attracting the attention of academic and industry researchers who are intrigued by their accordance and reach rapidly. Mainly data mining techniques have been very effective in using the conte ..."""
264,"
                  EFFICIENT CLASSIFICATION FOR LARGE-SCALE PROBLEMS BY MULTIPLE LDA SUBSPACES
                  ","""... LDA, image classification, large databases In this paper we consider the limitations of Linear Discriminative Analysis (LDA) when applying it for largescale problems. Since LDA was originally developed for two-class problems the obtained transformation is sub-optimal if multiple classes are consider ..."""
265,"
                  Full-SpaceLDA With Evolutionary Selection for Face Recognition&apos
                  ","""... Linear Discriminant Analysis (LDA) is a popular feature extraction technique for face recognition. However, it often suffers from the small sample size problem when dealing with the high dimensionalface data. Some approaches have been proposed to overcome this problem, but they usually utilize all e ..."""
266,"
                  Bandstructure meets many-body theory: The LDA+DMFT method
                  ","""... Abstract. Ab initio calculation of the electronic properties of materials is a major challenge for solid state theory. Whereas the experience of forty years has proven density functional theory (DFT) in a suitable, e.g. local approximation (LDA) to give a satisfactory description in case electronic  ..."""
267,"
                  Study of Ce intermetallic compounds: an LDA classification and hybridization effects
                  ","""... Spin-polarized calculations within the LDA approximation have been done with the goal of characterizing Ce intermetallic compounds. Symmetry and chemical environment effects on 4f hybridization and, thereafter, on magnetization effects have been studied. I. ..."""
268,"
                  Comparison of PCA and LDA based Face Recognition Technique in Noisy Environment
                  ","""... Abstract — In the face recognition technique there are various types of noises present. In this paper I am going to detect the noise in the given faces in the face recognition using feature extractions in the two different and well know technique known as PCA and LDA technique. In this paper I am go ..."""
269,"
                  Classification of Arrhythmias with LDA and ANN using Orthogonal Rotations for Feature Reduction
                  ","""... This paper presents a new approach for feature reduction by using orthogonal rotations. Wavelet coefficients for beat segments are taken as features which are reduced by factor analysis method using orthogonal rotations. LDA (Linear Discriminant Analysis) and ANN (Artificial Neural Network) classifi ..."""
270,"
                  Robust Speech/non-Speech Detection Using Lda Applied To Mfcc
                  ","""... In speech recognition, a speech/non-speech detection must be robust to noise. In this work, a new method for speech/nonspeech  detection using a Linear Discriminant Analysis (LDA)  applied to Mel Frequency Cepstrum Coefficients (MFCC) is presented. The energy is the most discriminant parameter betwe ..."""
271,"
                  A Hybrid Anomaly Detection Model using G-LDA
","""... Abstract — Anomaly detection is one of the important challenges of network security associated today. We present a novel hybrid technique called G-LDA to identify the anomalies in network traffic. We propose a hybrid technique integrating Latent Dirichlet Allocation and genetic algorithm namely the  ..."""
272,"
                  Promoting Ranking Diversity for Biomedical Information Retrieval based on LDA
","""... Abstract—In this paper, we propose an approach based on a topic generative model called Latent Dirichlet Allocation (LDA) to promoting ranking diversity for biomedical information retrieval. Different from other approaches or models which consider aspects on word level, our approach assumes that asp ..."""
273,"
                  3D Face Recognition using Radon Transform and Symbolic LDA
","""... Many recent events, such as terrorist attacks, have exposed the serious weaknesses in most sophisticated security systems. Three dimensional (3D) human face recognition is emerging as a significant biometric technology. Research interest in 3D face recognition has increased during recent years due t ..."""
274,"
                  Superfluid LDA (SLDA): Local Density Approximation for Systems with Superfluid Correlations
                  ","""... We present a concise account of our development of the first genuine Local Density Approximation (LDA) to the Energy Density Functional (EDF) for fermionic systems with superfluid correlations, with a particular emphasis to nuclear systems. 1. General remarks The theorem of Hohenberg and Kohn 1 conc ..."""
275,"
                  MedLDA: A General Framework of Maximum Margin Supervised Topic Models
                  ","""... Supervised topic models utilize document’s side information for discovering predictive low dimensional representations of documents. Existing models apply the likelihood-based estimation. In this paper, we present a general framework of max-margin supervised topic models for both continuous and cate ..."""
276,"
                  FEASIBILITY OF LDA MEASUREMENTS IN HIGH VOID FRACTION BUBBLY FLOW
                  ","""... The measurement of the time averaged and the turbulent fluctuations of the liquid phase velocity in a high void fraction bubbly flow is an important issue for multiphase flow research. In this study the feasibility of performing LDA measurements with a 27 mm diameter back-scattering LDA probe in a p ..."""
277,"
                  Going beyond Corr-LDA for detecting specific comments on news & blogs
                  ","""... Understanding user generated comments in response to news and blog posts is an important area of research. After ig-noring irrelevant comments, one finds that a large fraction, approximately 50%, of the comments are very specific and can be further related to certain parts of the article instead of  ..."""
278,"
LDA - Scalable, Off-Line Multiprocessor Scheduling for Real-Time Systems
                  ","""... Off-line task scheduling remains important for real-time systems since such algorithms may be used to schedule tasks known at the time of system initialization. The LDA algorithm described in this paper uses both task laxities and deadlines when deciding processor allocation and task scheduling for  ..."""
279,"
                  PCA, SFS or LDA: What is the Best Choice for Extracting Speaker
                  ","""... Feature extraction is the process of deriving new weakly correlated features from the original features in order to reduce the cost of feature measurement, increase classifier efficiency, and allows higher classification accuracy. The selection and quality of the features representing each pattern h ..."""
280,"
                  Evaluation of PCA and LDA techniques for Face recognition using ORL face database
                  ","""... Abstract-- In this paper, we present a face recognition system that identifies a person from the input image given, for authentication purposes. As a feature extraction technique, Linear Discriminant Analysis (LDA) is used. After the generation of features, the classification is performed using Eucl ..."""
281,"
                  A new optical technique for the generation of LDA-quadrature signals
                  ","""... A novel LDA technique which uses two single frequency lasers, one for each LDA beam is presented. In contrast to previously presented techniques using the optical frequency difference of the lasers for directional discrimination, the technique described here generates a quadrature signal pair by an  ..."""
282,"
                  FACE RECOGNITION USING PCA, LDA AND VARIOUS DISTANCE CLASSIFIERS
                  ","""... Abstract: Face recognition has become a major field of interest these days. Face recognition algorithms are used in a wide range of applications such as security control, crime investigation, and entrance control in buildings, access control at automatic teller machines, passport verification, ident ..."""
283,"
                  10-702 Project Report: Parallel LDA, Truth or Dare?
                  ","""... Latent Dirichlet Allocation (LDA) is a popular topic model, which can be learned using Collapsed Gibbs Sampling. Although Collapsed Gibbs Sampling is inherently sequential, we show that parallel approximation of the original algorithm is able to learn as good models as the exact algorithm. We studie ..."""
284,"
                  LA-LDA: A Limited Attention Topic Model for Social Recommendation
                  ","""... Abstract. Social media users have finite attention which limits the number of incoming messages from friends they can process. Moreover, they pay more attention to opinions and recommendations of some friends more than others. In this paper, we propose LA-LDA, a latent topic model which incorporates ..."""
285,"
                   Multi-Modal Biometrics Human Verification using LDA and DFB
                  ","""... Biometrics is one of the recent trends in security, which is mainly used for 
verification and recognition systems. By using biometrics we confirm a particular 
person’s claimed identity based on particular person’s physiological or behavioral 
characteristics such as fingerprint, face or voice etc. ..."""
286,"
                  An Efficient Method to Estimate Labelled Sample Size for Transductive LDA(QDA/MDA)
                  ","""... Abstract. As semi-supervised classification drawing more attention, many practical semi-supervised learning methods have been proposed. However,one important issue was ignored by current literature–how to estimate the exact size of labelled samples given many unlabelled samples. Such an estimation m ..."""
287,"
                  IOS Press The PCA and LDA analysis on the differential expression of proteins in breast cancer
                  ","""... Abstract. Breast cancer is a leading cause of mortality in women. In Malaysia, it is the most common cancer to affect women. The most common form of breast cancer is infiltrating ductal carcinoma (IDC). A proteomic approach was undertaken to identify protein profile changes between cancerous and nor ..."""
288,"
                  Interval Semi-supervised LDA: Classifying Needles in a Haystack
                  ","""...  Abstract. An important text mining problem is to find, in a large collection of texts, documents related to specific topics and then discern further structure among the found texts. This problem is especially important for social sciences, where the purpose is to find the most representative docume ..."""
289,"
                  Efficient Training of LDA on a GPU by Mean-for-Mode Estimation
                  ","""...  Abstract We introduce Mean-for-Mode estimation, a variant of an uncollapsed Gibbs sampler that we use to train LDA on a GPU. The algorithm combines benefits of both uncollapsed and collapsed Gibbs samplers. Like a collapsed Gibbs sampler -and unlike an uncollapsed Gibbs sampler -it has good statist ..."""
290,"
                  An Effective Feature Analytical Fisher-LDA approach for Face Recognition
                  ","""... Abstract: Face is the most visible biometric component that having its importance not only in authentication system but in many other applications such as activity recognition. Face can be used as the off line as well as online facial component because of the availability of easy extraction of face  ..."""
291,"
                  Template Protection for PCA-LDA-based 3D Face Recognition Systems
                  ","""... Abstract: Authentication based on biometrics became significantly important over the last years. Privacy and security concerns arise by the extensive deployment of bio-metrics. The used biometric features itself have to be secured. We propose a security mechanism that solves privacy related problems ..."""
292,"
                  NOISE FILTERING METHOD FOR COLOR IMAGES BASED ON LDA AND NONLINEAR DIFFUSION
                  ","""... The purpose of noise filtering for images is to preserve fea-tures such as edge or corners in images, while reducing noise. Recent noise filtering algorithms based on diffusion equation shows the satisfactory results to some extent, if the noise is additive Gaussian noise. However, if the noise is n ..."""
293,"
                  Explore the Evolution of Development Topics via On-Line LDA
","""... Abstract—Software repositories such as revision control sys-tems and bug tracking systems are usually used to manage the changes of software projects. During software maintenance and evolution, software developers and stakeholders need to investigate these repositories to identify what tasks were wo ..."""
294,"
                  End-to-End Differentiation of Congestion and Wireless Losses
                  ","""... protocols for networks with either backbone or last-hop wireless links. As our basic video transport protocol, we use UDP in conjunction with a congestion control mechanism extended with an LDA. For congestion control, we use the TCP-Friendly Rate Control (TFRC) algorithm. We extend TFRC to use an L ..."""
295,"
                  PCA- Based Feature Extraction and LDA algorithm for Preterm Birth Monitoring
                  ","""... Abstract. Most pregnancies last around 40 weeks. Babies born between 37 and 42 completed weeks of pregnancy are called full term. Premature birth is a serious health problem. Premature babies are at increased risk for newborn health complications, such as breathing problems, and even death. Most pre ..."""
296,"
                  Probabilistic Topic and Syntax Modeling with Part-of-Speech LDA
","""... This article presents a probabilistic generative model for text based on semantic topics and syntactic classes called Part-of-Speech LDA (POSLDA). POSLDA simultaneously uncovers short-range syntactic patterns (syntax) and long-range semantic patterns (topics) that exist in document collections. This ..."""
297,"
                  LogisticLDA: Regularizing Latent Dirichlet Allocation by Logistic Regression?
                  ","""... Abstract. We present in this paper a supervised topic model for multi-class classification problems. To incorporate supervisory information, we jointly model documents and their labels in a graphical model called LogisticLDA, which mathematically integrates a genera-tive model and a discriminative m ..."""
298,"
                  X-ray absorption branching ratio in actinides: LDA + DMFT approach
                  ","""...  Abstract -To investigate the X-ray absorption (XAS) branching ratio from the core 4d to valence 5f states, we set up a theoretical framework by using a combination of density functional theory in the Local Density Approximation and Dynamical Mean-Field Theory (LDA + DMFT), and apply it to several a ..."""
299,"
LDA BASED FACE RECOGNITION BY USING HIDDEN MARKOV MODEL IN CURRENT TRENDS.
                  ","""... Abstract: Hidden Markov model (HMM) is a promising method that works well for images with variations in lighting, facial expression, and orientation. Face recognition draws attention as a complex task due to noticeable changes produced on appearance by illumination, facial expression, size, orientat ..."""
300,"
                  A New Face Recognition Method using PCA, LDA and Neural Network
                  ","""... Abstract—In this paper, a new face recognition method based on ..."""
301,"
                  An Lda Study Of Longitudinal Vortices Embedded In A Turbulent Boundary Layer
                  ","""... A three-component Laser Doppler Anemometry (LDA) system was used to investigate the complex flow field generated by vortex generator jets in a turbulent boundary layer. The prominent feature of the flow is longitudinal vortices embedded in the boundary layer. The study was performed in a 3:5m \Theta ..."""
302,"
                  Online News Media Bias Analysis using an LDA-NLP Approach
                  ","""... It is widely recognized that every media outlet has its own ”spin ” on news, and this bias has been described in many ways and at many levels. In political news for example, the bias can be liberal, conservative, moderate, corporate, etc. In addition, recent research has focused on the ’sentiment di ..."""
303,"
                  Sentiment Analysis using LDA on Product Reviews: A Survey
                  ","""... This paper presents a survey of sentiments analysis for product review. Online social and news media has become a very popular for users to share their opinions and generate prosperous and timely information about real world events of all kinds. Several efforts were dedicated for mining opinions and ..."""
304,"
                  Distributed LDA based Topic Modeling and Topic Agglomeration in a Latent Space
                  ","""... We describe the methodology that we followed to automatically extract topics corresponding to known events provided by the SNOW 2014 challenge in the context of the SocialSensor project. A data crawling tool and selected fil-tering terms were provided to all the teams. The crawled data was to be div ..."""
305,"
                  Face recognition using kernel direct discriminant analysis algorithms
                  ","""... Abstract—Techniques that can introduce low-dimensional feature representation with enhanced discriminatory power is of paramount importance in face recognition (FR) systems. It is well known that the distribution of face images, under a perceivable variation in viewpoint, illumination or facial expr ..."""
306,"
                  RESEARCH Open Access LDA boost classification: boosting by topics
                  ","""... AdaBoost is an efficacious classification algorithm especially in text categorization (TC) tasks. The methodology of setting up a classifier committee and voting on the documents for classification can achieve high categorization precision. However, traditional Vector Space Model can easily lead to  ..."""
307,"
                  A Survey of Document Clustering Techniques Comparison of LDA and moVMF
                  ","""... This course project is mainly an overview of some widely used document clustering techniques. We begin with the basic vector space model, through its evolution, and extend to other more elaborate and statistically sound models. We compare two models in detail, the mixture of Von Mises-Fisher and Lat ..."""
308,"
                  An LDA-based relative hysteresis classifier with application to segmentation of retinal vessels
                  ","""... In a pattern classification setup, image segmentation is achieved by assigning each pixel to one of two classes: object or background. The special case of vessel segmentation is characterized by a strong disproportion between the number of representatives of each class (i.e. class skew) and also by  ..."""
309,"
                  Realistic Modeling of Strongly Correlated Electron Systems: An Introduction to the LDA+DMFT
                  ","""...  ..."""
310,"
                  KB-LDA: Jointly Learning a Knowledge Base of Hierarchy, Relations, and Facts
                  ","""... Many existing knowledge bases (KBs), in-cluding Freebase, Yago, and NELL, rely on a fixed ontology, given as an input to the system, which defines the data to be cataloged in the KB, i.e., a hierar-chy of categories and relations between them. The system then extracts facts that match the predefined ..."""
311,"
                  EXMARaLDA and the FOLK tools – two toolsets for transcribing and annotating
                  ","""... spoken language ..."""
312,"
                  A bound on the performance of LDA in randomly projected data spaces
                  ","""... We consider the problem of classification in nonadaptive dimensionality reduction. Specifically, we bound the increase in classification error of Fisher’s Linear Discriminant classifier resulting from randomly projecting the high dimensional data into a lower dimensional space and both learning the  ..."""
313,"
                  1 » KEY WORDS fCMtlniM on WWtM »lda tin*
                  ","""... An experimental study of nucleate pool boiling heat transfer from a Gewa-T finned surface in Freon-113 ..."""
314,"
                  Detailed Evaluation of CFD Predictions against LDA measurements for flow on an aerofoil
                  ","""... The current work is the validation of the Glasgow flow solver PMB for static and moving aerofoils against data measured at LABM. The treatment of turbulence and transition is considered. Measurements made at LABM using an Embedded Laser Doppler Velocimetry (ELDV technique) provide detailed boundary  ..."""
315,"
                  Self-Energy corrections to DFT-LDA Gaps of Realistic Carbon Nanotubes
                  ","""... The component part is provided here to allow users access to individually authored sections f proceedings, annals, symposia, etc. However, the component should be considered within [he context of the overall compilation report and not as a stand-alone technical report. The following component part n ..."""
316,"
                  Artery/Vein Discrimination Using Graph Based Approach and LDA Classifier
                  ","""...  ABSTRACT: Analyzing the retinal blood vessels can provide very helpful information to doctors for early detection of diseases Such as diabetic retinopathy due to large number of patients. For this generalized arteriolar narrowing, which is inversely related to higher blood pressure levels is usuall ..."""
317,"
                  Can Word Probabilities from LDA be Simply Added up to Represent Documents?
                  ","""...  ABSTRACT This paper provides an alternative way of document representation by treating topic probabilities as a vector representation for words and representing a document as a combination of the word vectors. A comparison on summary data shows that this representation is more effective in document ..."""
318,"
                  COMPLEX*16 A(0:LDA-1,0:∗) INTEGER
                  ","""... Note: Before using this routine, please read the Users ’ Note for your implementation to check for implementation-dependent details. You are advised to enclose any calls to NAG Parallel Library routines between calls to Z01AAFP and Z01ABFP. 1 Description F02FRFP computes the eigenvalues and eigenvec ..."""
319,"
                  DOUBLE PRECISION A(0:LDA-1,0:∗) INTEGER
                  ","""... Note: Before using this routine, please read the Users ’ Note for your implementation to check for implementation-dependent details. You are advised to enclose any calls to NAG Parallel Library routines between calls to Z01AAFP and Z01ABFP. 1 Description F02FQFP computes the eigenvalues and eigenvec ..."""
320,"
                  complex*16 C(*), A(LDA,*) CHARACTER*1 SIDE
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F06TVF transforms a complex upper triangular matrix to an upper Hessenberg matrix by applying a given seque ..."""
321,"
                  double precision A(LDA,*), SCALE(N) CHARACTER*1
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08NHF (DGEBAL) balances a real general matrix in order to improve the accuracy of computed eigenvalues and ..."""
322,"
                  An Efficient Illumination Normalization Method with Fuzzy LDA Feature Extractor for Face Recognition
                  ","""... The most significant practical challenge for face recognition is perhaps variability in lighting intensity. In this paper, we developed a face recognition which is insensitive to large variation in illumination. Normalization including two steps, first we used Histogram truncation as a preprocessing ..."""
323,"
                  Class-dependent PCA, MDC and LDA:A combined classifier
                  ","""... for pattern classification ..."""
324,"
                  double precision A(LDA,*), TAUA(*), B(LDB,*), TAUB(*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08ZFF (DGGRQF) computes a generalized RQ factorization of a real matrix pair ðA; BÞ, where A is an m by n  ..."""
325,"
                  complex*16 A(LDA,*), B(LDB,*) CHARACTER*1
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08SSF (ZHEGST) reduces a complex Hermitian-definite generalized eigenproblem Az  Bz, ABz  z or BAz  z to t ..."""
326,"
                  double precision A(LDA,*), TAUA(*), B(LDB,*), TAUB(*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08ZEF (DGGQRF) computes a generalized QR factorization of a real matrix pair ðA; BÞ, where A is an n by m  ..."""
327,"
                  REAL (KIND=nag_wp) A(LDA,*), B(LDB,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F07AAF (DGESV) computes the solution to a real system of linear equations AX  B, where A is an n by n matri ..."""
328,"
                  complex*16 A(LDA,*), B(LDB,*), C(LDC,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. ..."""
329,"
                  complex*16 A(LDA,*), TAU(*), C(LDC,*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08BXF (ZUNMRZ) multiplies a general complex m by n matrix C by the complex unitary matrix Z from an RZ fac ..."""
330,"
                  double precision A(LDA,*), B(LDB,*), ALPHA(*), BETA(*), U(LDU,*),
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08VAF (DGGSVD) computes the generalized singular value decomposition (GSVD) of an m by n real matrix A and ..."""
331,"
                  REAL (KIND=nag_wp) A(LDA,*), SCALE(N)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08NHF (DGEBAL) balances a real general matrix in order to improve the accuracy of computed eigenvalues and ..."""
332,"
                  REAL (KIND=nag_wp) A(LDA,*), B(LDB,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F07FEF (DPOTRS) solves a real symmetric positive definite system of linear equations with multiple right-ha ..."""
333,"
                  COMPLEX (KIND=nag_wp) A(LDA,*), B(LDB,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F07ASF (ZGETRS) solves a complex system of linear equations with multiple right-hand sides, AX  B, A T X  B ..."""
334,"
                  COMPLEX (KIND=nag_wp) A(LDA,*), B(LDB,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F07ANF (ZGESV) computes the solution to a complex system of linear equations AX  B, where A is an n by n ma ..."""
335,"
                  COMPLEX (KIND=nag_wp) A(LDA,*), B(LDB,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F07FSF (ZPOTRS) solves a complex Hermitian positive definite system of linear equations with multiple right ..."""
336,"
                  SUBROUTINE F01FCF (N, A, LDA, IFAIL) INTEGER
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. ..."""
337,"
                  complex*16 A(LDA,*), W(*), VL(LDVL,*), VR(LDVR,*),
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08NNF (ZGEEV) computes the eigenvalues and, optionally, the left and/or right eigenvectors for an n by n c ..."""
338,"
                  complex*16 A(LDA,*), TAU(*), WORK(max(1,LWORK))
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08BVF (ZTZRZF) reduces the m by n (m form by means of unitary transformations. n) complex upper trapezoida ..."""
339,"
                  complex*16 A(LDA,*), B(LDB,*), WORK(LWORK)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F02HDF computes all the eigenvalues, and optionally all the eigenvectors, of a complex Hermitian-definite g ..."""
340,"
                  double precision A(LDA,*), B(LDB,*), D(*), X(*), Y(*),
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F04JLF solves a real general Gauss–Markov linear (least-squares) model problem. ..."""
341,"
                  complex*16 CHARACTER*1 A(LDA,*), B(LDB,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08SSF (ZHEGST) reduces a complex Hermitian-definite generalized eigenproblem Az  Bz, ABz  z or BAz  z to t ..."""
342,"
                  Nd2−xCexCuO4: LDA+GTB approach
                  ","""... of many-body effects over one-electron mechanism for band structure doping dependence in ..."""
343,"
                  COMPLEX*16 A(0:LDA-1,0:∗) INTEGER
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check for implementation-dependent details. You are advised to enclose any calls to NAG Parallel Library routines between calls to Z01AAFP and Z01ABFP. 1 Description F02FRFP computes the eigenvalues and eigenvec ..."""
344,"
                  DOUBLE PRECISION A(0:LDA-1,0:∗) INTEGER
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check for implementation-dependent details. You are advised to enclose any calls to NAG Parallel Library routines between calls to Z01AAFP and Z01ABFP. 1 Description F02FQFP computes the eigenvalues and eigenvec ..."""
345,"
                  DOUBLE PRECISION A(LDA,*), B(LDB,*), WORK(*) INTEGER
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check for implementation-dependent details. You are advised to enclose any calls to NAG Parallel Library routines between calls to Z01AAFP and Z01ABFP. 1 Description F01WPFP distributes an m by n real matrix B a ..."""
346,"
                  X-ray absorption branching ratio in actinides: LDA+DMFT approach
                  ","""... The article was downloaded on 24/06/2010 at 05:59 Please note that terms and conditions apply. View the table of contents for this issue, or go to the journal homepage for more ..."""
347,"
                  Beyond LDA: Exploring Supervised Topic Modeling for Depression-Related Language in Twitter
                  ","""... Topic models can yield insight into how de-pressed and non-depressed individuals use language differently. In this paper, we explore the use of supervised topic models in the anal-ysis of linguistic signal for detecting depres-sion, providing promising results using several models. 1 ..."""
348,"
                  Assessment (LDA) or Education Health Care Plan (EHCP)..................................................... 3
                  ","""...  ..."""
349,"
                  jLDADMM: A Java package for the LDA and DMM topic models
                  ","""... Abstract. The Java package jLDADMM is released to provide alternatives for topic modeling on normal or short texts. It provides implementations of the Latent Dirichlet Allocation topic model and the one-topic-per-document Dirichlet Multinomial Mixture model (i.e. mixture of unigrams), using collapse ..."""
350,"
                  Graph-Sparse LDA: A Topic Model with Structured Sparsity
                  ","""... ar ..."""
351,"
                  Representations of the occupation number matrix on the LDA/GGA + U method
                  ","""... An analysis of the general representation of the occupation number matrix on density functional theory in conjunction with the generalized Hubbard model is presented. A central fact that will be addressed is that the total charge density cannot be broken down into simple atomic contributions. This f ..."""
352,"
                  Acronyms ERDF European Regional Development Fund LDA Local Development Approach
                  ","""... Quotation is authorised as long as the source is acknowledged. The text is not binding for the ..."""
353,"
                  Understanding MOOC Discussion Forums using Seeded LDA Anonymous authors
                  ","""... Discussion forums serve as a platform for student discussions in massive open online courses (MOOCs). Analyzing content in these forums can uncover useful informa-tion for improving student retention and help in initiating instructor intervention. In this work, we explore the use of topic models, pa ..."""
354,"
                  Using a Bayesian Model to Combine LDA Features with Crowdsourced Responses
                  ","""... This paper describes a crowdsourcing system that integrates machine learning techniques with hu-man classifiers, showing how to apply a Bayesian approach to classifier combination to the challenge of crowdsourcing document topic labels. First, we use a number of NLP techniques to extract informative ..."""
355,"
                  WEIGHTED LDA TECHNIQUES FOR I-VECTOR BASED SPEAKER VERIFICATION
                  ","""... This is the author’s version of a work that was submitted/accepted for pub-lication in the following source: ..."""
356,"
                  You Too?! Mixed-initiative LDA story matching to help teens in distress
                  ","""... Adolescent cyber-bullying on social networks is a phenomenon that has received widespread attention. Recent work by sociologists has examined this phenomenon under the larger context of teenage drama and it&aposs manifestations on social networks. Tackling cyber-bullying involves two key components ..."""
357,"
                  1 LDaC: A Wideband Loran Data Acquisition System
                  ","""... Loran-C provides timing and positioning services which are suitable for GPS backup in the National Airspace System (NAS). To assess the system’s ability to provide the necessary accuracy, integrity, availability and continuity, a variety of analyses and measurement tasks are underway. These tests ha ..."""
358,"
                  9 PIV as a Complement to LDA in the Study of an Unsteady Oscillating Turbulent Flow
                  ","""... In the last decade, particle image velocimetry (PIV) has become a standard laser diagnostic tool in numerous fluid mechanics laboratories worldwide. At first glance, it appears straight-forward to set up an off-the-shelf system for a quick investigation of the flow of interest. However, unless addit ..."""
359,"
                  Review of Image Classification Techniques Based on LDA, PCA and Genetic Algorithm
                  ","""... Image classification is play an important role in security surveillance in current scenario of huge Amount of image data base. Due to rapid change of feature content of image are major issues in classification. The image classification is improved by various authors using different model of classifi ..."""
360,"
                  Parameter estimation for text analysis
                  ","""... Abstract. Presents parameter estimation methods common with discrete probability distributions, which is of particular interest in text modeling. Starting with maximum likelihood, a posteriori and Bayesian estimation, central concepts like conjugate distributions and Bayesian networks are reviewed.  ..."""
361,"
                  1D-LDA versus 2D-LDA: When Is Vector-based Linear Discriminant Analysis Better than Matrix-based?
                  ","""... Information ..."""
362,"
                  Fast collapsed Gibbs sampling for latent Dirichlet allocation
                  ","""... In this paper we introduce a novel collapsed Gibbs sampling method for the widely used latent Dirichlet allocation (LDA) model. Our new method results in significant speedups on real world text corpora. Conventional Gibbs sampling schemes for LDA require O(K) operations per sample where K is the num ..."""
363,"
                  Multiclass Linear Dimension Reduction by Weighted Pairwise Fisher Criteria
                  ","""... We derive a class of computationally inexpensive linear dimension  reduction criteria by introducing a weighted variant of the well-known K-class  Fisher criterion associated with linear discriminant analysis (LDA). It can be seen that LDA weights contributions of individual class pairs according to ..."""
364,"
                  Efficient and Robust Feature Extraction by Maximum Margin Criterion
                  ","""... In pattern recognition, feature extraction techniques are widely employed to reduce the dimensionality of data and to enhance the discriminatory information. Principal Component Analysis (PCA) and Linear Discriminant Analysis (LDA) are two most popular linear dimen-sionality reduction methods. Howev ..."""
365,"
                   Unsupervised Activity Perception in Crowded and Complicated Scenes Using Hierarchical Bayesian Models
                  ","""... We propose a novel unsupervised learning framework to model activities and interactions in crowded and complicated scenes. Under our framework hierarchical Bayesian models are used to connect three elements in visual surveillance: low-level visual features, simple “atomic ” activities, and interacti ..."""
366,"
                  Modeling Online Reviews with Multi-grain Topic Models  
                  ","""... In this paper we present a novel framework for extracting the ratable aspects of objects from online user reviews. Extracting such aspects is an important challenge in automatically mining product opinions from the web and in generating opinion-based summaries of user reviews [18, 19, 7, 12, 27, 36, ..."""
367,"
                   Joint Latent Topic Models for Text and Citations
                  ","""... In this work, we address the problem of joint modeling of text and citations in the topic modeling framework. We present two different models called the Pairwise-Link-LDA and the Link-LDA-PLSA models. The Pairwise-Link-LDA model combines the ideas of LDA [4] and Mixed Membership Block Stochastic Mod ..."""
